Evaluation,x_t,y_c1,y_c2,y_t,z_c1,Cost
976,19.57468mm,12.130224mm,10.31773mm,0.12884932mm,36.818741mm,0.56899
584,19.981788mm,10.511733mm,11.938277mm,0.094732015mm,39.774175mm,0.57164
960,20mm,11.609101mm,11.878217mm,0.14mm,37.142401mm,0.57295
646,10.371054mm,18.74989mm,8.5958017mm,0.12523095mm,25.187595mm,0.57457
783,7.7458005mm,17.010462mm,8.1810945mm,0.075906131mm,39.179004mm,0.57459
850,17.280376mm,16.046466mm,11.301279mm,0.081986699mm,28.146775mm,0.5749
113,7.0302997mm,16.951883mm,12mm,0.07mm,40mm,0.57527
896,13.547581mm,14.394414mm,7.4135285mm,0.13084138mm,38.232233mm,0.57807
24,13.547581mm,14.394414mm,7.4135285mm,0.13084138mm,38.232233mm,0.57807
30,6.75mm,16.256435mm,7.8170185mm,0.10608552mm,30.651253mm,0.57844
550,5.9273905mm,18.712552mm,10.540132mm,0.11943104mm,26.006787mm,0.57957
22,13.547581mm,14.394414mm,7.4135285mm,0.13791244mm,40mm,0.57975
191,5.5083372mm,10.713518mm,11.739207mm,0.13520895mm,38.838263mm,0.58105
